ts_code,trade_date,open,high,low,close,pre_close,change,pct_chg,vol,amount
601668.SH,20200116,5.850,5.860,5.760,5.800,5.830,-0.030,-0.515,1236965.810,717595.947
601668.SH,20200115,5.950,5.960,5.810,5.830,5.950,-0.120,-2.017,1513675.010,884778.106
601668.SH,20200114,5.970,6.020,5.950,5.950,5.950,0.000,0.000,1394724.250,833974.522
601668.SH,20200113,5.910,5.980,5.850,5.950,5.900,0.050,0.848,1548820.740,915531.201
601668.SH,20200110,6.010,6.020,5.850,5.900,5.990,-0.090,-1.502,1861202.030,1098477.773
601668.SH,20200109,6.000,6.030,5.920,5.990,5.930,0.060,1.012,1669357.290,995935.078
601668.SH,20200108,6.000,6.070,5.910,5.930,6.020,-0.090,-1.495,2002586.000,1196372.870
601668.SH,20200107,6.110,6.150,5.990,6.020,6.090,-0.070,-1.149,2051066.680,1237510.902
601668.SH,20200106,5.950,6.200,5.950,6.090,5.980,0.110,1.839,3612816.200,2207252.883
601668.SH,20200103,5.960,6.040,5.910,5.980,5.910,0.070,1.184,3465998.680,2074279.288
601668.SH,20200102,5.710,5.950,5.700,5.910,5.620,0.290,5.160,5450403.910,3185039.569
